merk,model,kleur,status,bestand,bron_url,fotograaf,licentie
BMW,5 Serie Touring,Rood metallic,herkleurd,images/bmw_5-serie-touring_rood-metallic_herkleurd.jpg,https://commons.wikimedia.org/wiki/File:Racing_to_Green_Energy_-_American_Le_Mans_Series_(20120831-OC-LSC-0012).jpg,USDAgov,Public domain
BMW,5 Serie Touring,Groen metallic,ok,images/bmw_5-serie-touring_groen-metallic.jpg,https://commons.wikimedia.org/wiki/File:Racing_to_Green_Energy_-_American_Le_Mans_Series_(20120831-OC-LSC-0012).jpg,USDAgov,Public domain
BMW,5 Serie Touring,Bruin metallic,herkleurd,images/bmw_5-serie-touring_bruin-metallic_herkleurd.jpg,https://commons.wikimedia.org/wiki/File:Racing_to_Green_Energy_-_American_Le_Mans_Series_(20120831-OC-LSC-0012).jpg,USDAgov,Public domain
BMW,5 Serie Touring,Zwart,herkleurd,images/bmw_5-serie-touring_zwart_herkleurd.jpg,https://commons.wikimedia.org/wiki/File:Racing_to_Green_Energy_-_American_Le_Mans_Series_(20120831-OC-LSC-0012).jpg,USDAgov,Public domain
BMW,X1,Zwart,herkleurd,images/bmw_x1_zwart_herkleurd.jpg,https://commons.wikimedia.org/wiki/File:BMW_X1_U11_sDrive18d_xLine_Alpine_White_01.jpg,Ethan Llamas,CC BY-SA 4.0
BMW,X1,Wit,ok,images/bmw_x1_wit.jpg,https://commons.wikimedia.org/wiki/File:BMW_X1_U11_sDrive18d_xLine_Alpine_White_01.jpg,Ethan Llamas,CC BY-SA 4.0
BMW,X1,Grijs metallic,herkleurd,images/bmw_x1_grijs-metallic_herkleurd.jpg,https://commons.wikimedia.org/wiki/File:BMW_X1_U11_sDrive18d_xLine_Alpine_White_01.jpg,Ethan Llamas,CC BY-SA 4.0
BMW,X1,Zilver metallic,ok,images/bmw_x1_zilver-metallic.jpg,https://commons.wikimedia.org/wiki/File:2012_BMW_X1_silver_bronze.jpg,Pakawut kenta,CC BY-SA 4.0
BMW,X1,Blauw metallic,ok,images/bmw_x1_blauw-metallic.jpg,"https://commons.wikimedia.org/wiki/File:Moscow,_BMW_F48_(X1)_blue_Mar_2026_02.jpg",Retired electrician,CC0
BMW,X1,Rood metallic,herkleurd,images/bmw_x1_rood-metallic_herkleurd.jpg,"https://commons.wikimedia.org/wiki/File:Moscow,_BMW_F48_(X1)_blue_Mar_2026_02.jpg",Retired electrician,CC0
BMW,X1,Groen metallic,ok,images/bmw_x1_groen-metallic.jpg,https://commons.wikimedia.org/wiki/File:BMW_U11_BEV_iX1_xDrive30_M_Sport_Cape_York_Green_Metallic_(2).jpg,Damian B Oh,CC BY-SA 4.0
BMW,X1,Bruin metallic,ok,images/bmw_x1_bruin-metallic.jpg,"https://commons.wikimedia.org/wiki/File:Moscow,_BMW_E84_(X1)_brown,_Sept_2025_01.jpg",Retired electrician,CC0
BMW,X3,Wit,ok,images/bmw_x3_wit.jpg,"https://commons.wikimedia.org/wiki/File:Moscow,_BMW_X3_white,_Aug_2025_01.jpg",Retired electrician,CC0
BMW,X3,Grijs metallic,ok,images/bmw_x3_grijs-metallic.jpg,"https://commons.wikimedia.org/wiki/File:2025_BMW_X3_M50_xDrive_in_Brooklyn_Grey_Metallic,_front_left,_2025-10-17.jpg",Elise240SX,CC BY-SA 4.0
BMW,X3,Zilver metallic,ok,images/bmw_x3_zilver-metallic.jpg,https://commons.wikimedia.org/wiki/File:BMW_X3_E83_xDrive20d_Titanium_Silver_Metallic_diplomatic.jpg,Ethan Llamas,CC BY-SA 4.0
BMW,X3,Blauw metallic,ok,images/bmw_x3_blauw-metallic.jpg,"https://commons.wikimedia.org/wiki/File:2010_BMW_X3_SE_xDrive20d_-_1995cc_2.0_(176PS)_Diesel_-_Montego_Blue_-_05-2024,_Front.jpg",Harvey Bold,CC BY 4.0
BMW,X3,Rood metallic,ok,images/bmw_x3_rood-metallic.jpg,https://commons.wikimedia.org/wiki/File:BMW_X3_E83_red_front_(1).jpg,"Fiver, der Hellseher",CC BY-SA 4.0
